Disease,Symptoms
Melanoma,"Moles Enlarge image Close Moles Moles Moles are usually harmless. They may contain hairs or become raised or wrinkled. Talk to your doctor about any change in the color or size of a mole or if itching, pain, bleeding or inflammation develops. Melanoma Enlarge image Close Melanoma Melanoma The first sign of melanoma is often a mole that changes size, shape or color. This melanoma shows color variations and an irregular border, both of which are melanoma warning signs. The first melanoma signs and symptoms often are: A change in an existing mole. The development of a new pigmented or unusual-looking growth on the skin. Melanoma doesn't always begin as a mole. It also can happen on otherwise healthy skin. Melanomas symptoms can happen anywhere on the body. Melanomas most often develop in areas that have had exposure to the sun. This includes the arms, back, face and legs. Melanomas also can happen in areas that aren't as exposed to the sun. This includes the soles of the feet, palms of the hands and fingernail beds. Melanoma also can happen inside the body. These hidden melanomas are more common in people with brown or Black skin. Typical moles Typical moles are generally a uniform color. They might look pink, tan, brown or black. In people with brown and Black skin, typical moles are more likely to be dark brown or black. Typical moles have a distinct border separating the mole from the surrounding skin. They're oval or round and usually smaller than 1/4 inch (about 6 millimeters) in diameter. Most moles begin appearing in childhood and new moles may form until about age 40. By the time they are adults, most people have between 10 and 40 moles. Moles may change in appearance over time and some may even go away with age. Signs that may indicate melanoma Some moles aren't typical. They may have certain characteristics that indicate melanomas or other skin cancers. Characteristics may include: Asymmetrical shape. Look for moles with unusual shapes, such as two very different-looking halves. Changes in color. Look for growths that have many colors or unusual color patterns. Changes in size. Look for new growth in a mole larger than 1/4 inch (about 6 millimeters). Changes in symptoms. Look for changes in symptoms, such as new itchiness or bleeding. Unusual border. Look for moles with unusual, notched or scalloped borders. Moles that become cancers can all look very different. Some may show all of the changes listed above, while others may have only one or two unusual characteristics. Hidden melanomas Melanomas also can develop in areas of the body that have little or no exposure to the sun. These areas may include the spaces between the toes and on the palms, soles, scalp or genitals. These are sometimes referred to as hidden melanomas because they occur in places most people wouldn't think to check. When melanoma occurs in people with brown or Black skin, it's more likely to occur in a hidden area. Hidden melanomas include: Melanoma inside the body. Mucosal melanoma develops in the mucous membrane. This tissue lines the nose, mouth, esophagus, anus, urinary tract and vagina. Mucosal melanomas are especially difficult to detect because they can easily be mistaken for other far more common conditions. Melanoma in the eye. Eye melanoma also is called ocular melanoma. It most often occurs in the layer of tissue beneath the white of the eye. This layer is called the uvea. An eye melanoma may cause vision changes and may be diagnosed during an eye exam. Melanoma under a nail. Acral-lentiginous melanoma is a rare form of melanoma that can occur under a fingernail or toenail. It also can be found on the palms of the hands or the soles of the feet. Acral-lentiginous melanoma tends to be very dark, flat and have very unusual borders. It's more common in people of Asian descent and people with brown or Black skin. When to see a doctor Make an appointment with your doctor or other healthcare professional if you notice any skin changes that worry you. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Medulloblastoma,Medulloblastoma Enlarge image Close Medulloblastoma Medulloblastoma Medulloblastoma is a type of brain cancer that starts in the part of the brain called the cerebellum. Medulloblastoma is the most common type of cancerous brain tumor in children. Medulloblastoma symptoms happen when the cancer grows or causes pressure to build up in the brain. Signs and symptoms of medulloblastoma may include: Dizziness. Double vision. Headaches. Nausea. Poor coordination. Tiredness. Unsteady walk. Vomiting. When to see a doctor Make an appointment with a doctor or other healthcare professional if you have any symptoms that worry you. Request an appointment
Medication overuse headaches,"Symptoms of medication overuse headaches depend on the type of headache being treated and the medicine used. Medication overuse headaches tend to: Happen every day or nearly every day. These headaches often wake people from sleep. Improve with pain medicine but then return as the medicine wears off. Other symptoms may include: Nausea. Restlessness. Trouble concentrating. Memory problems. Irritability. When to see a doctor It's common to have some headaches. But take headaches seriously. Some types of headaches can be life-threatening. Seek immediate medical care if your headache: Is sudden and very bad. Happens with a fever, stiff neck, rash, confusion, seizure, double vision, weakness, numbness or trouble speaking. Follows a head injury. Gets worse even with rest and pain medicine. Is a new type of headache that's lasting, especially in people older than 50. Happens with shortness of breath. Happens when upright but goes away when lying flat. Talk with your healthcare professional if: You have two or more headaches a week. You take a pain reliever for your headaches more than twice a week. You need more than the dose you're supposed to take of pain medicines you get without a prescription to relieve your headaches. Your headache pattern changes. Request an appointment"
Shin splints,
Measles,
Myelodysplastic syndromes,"Petechiae Enlarge image Close Petechiae Petechiae Bleeding into the skin looks like tiny reddish-purple spots, also known as petechiae. Petechiae might look like a rash. Here they appear on a leg (A) and on the stomach area (B). People with myelodysplastic syndromes might not experience signs and symptoms at first. In time, myelodysplastic syndromes might cause: Fatigue Shortness of breath Unusual paleness (pallor), which occurs due to a low red blood cell count (anemia) Easy or unusual bruising or bleeding, which occurs due to a low blood platelet count (thrombocytopenia) Pinpoint-sized red spots just beneath the skin that are caused by bleeding (petechiae) Frequent infections, which occur due to a low white blood cell count (leukopenia) When to see a doctor Make an appointment with your doctor if you have signs or symptoms that worry you. Request an appointment"
Muscular dystrophy,
MCAD deficiency,"MCAD deficiency is usually first identified in babies and young children. In rare cases, the disorder is not diagnosed until adulthood. Symptoms can vary among people with MCAD deficiency. They may include: Vomiting. Low or no energy. Weak feeling. Low blood sugar. A sudden severe episode, called a metabolic crisis, can be due to: Going too long without eating. Missing meals. Common infections. High fever. Ongoing stomach and digestive problems that may cause vomiting and diarrhea. Intense exercise. When to see a doctor In the United States and many other countries, newborn screening programs test for MCAD deficiency. After your first evaluation, you may be referred to a specialist in evaluating and treating MCAD deficiency. You may also be referred to other health care team members, such as a registered dietitian. Contact your health care team if you've been diagnosed with MCAD deficiency and have a high fever, no appetite, stomach or digestive symptoms, or a planned medical procedure that requires fasting. Request an appointment"
Nonalcoholic fatty liver disease,"The liver Enlarge image Close The liver The liver The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach. NAFLD often has no symptoms. When it does, they may include: Fatigue. Not feeling well, or malaise. Pain or discomfort in the upper right belly area. Possible symptoms of NASH and cirrhosis, or severe scarring, include: Itchy skin. Abdominal swelling, also called ascites (uh-SY-teez). Shortness of breath. Swelling of the legs. Spider-like blood vessels just beneath the skin's surface. Enlarged spleen. Red palms. Yellowing of the skin and eyes, or jaundice. When to see a doctor Make an appointment with a member of your health care team if you have lasting symptoms that worry you. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Get the latest health information from Mayo Clinic delivered to your inbox. Subscribe for free and receive your in-depth guide to
                            digestive health, plus the latest on health innovations and news. You can unsubscribe at any
                            time. Click here for an email preview. Email address Error Email field is required Error Include a valid email address Address 1 Subscribe Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Thank you for subscribing Your in-depth digestive health guide will be in your inbox shortly. You will also receive
                                emails from Mayo Clinic on the latest health news, research, and care. If you don’t receive our email within 5 minutes, check your SPAM folder, then contact us
                                at newsletters@mayoclinic.com . Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Marfan syndrome,"Finger length in Marfan syndrome Enlarge image Close Finger length in Marfan syndrome Finger length in Marfan syndrome People who have Marfan syndrome typically have especially long fingers. It's common for their thumbs to extend far beyond the edge of their hands when they make a fist. Longer arms in Marfan syndrome Enlarge image Close Longer arms in Marfan syndrome Longer arms in Marfan syndrome Marfan syndrome is a genetic disorder that causes people to have unusually long arms, legs and fingers. Your doctor may want to measure your arm span if he or she thinks you might have the disorder. The signs and symptoms of Marfan syndrome can vary greatly, even among members of the same family, because the disorder can affect so many different areas of the body. Some people experience only mild effects, but others develop life-threatening complications. Marfan syndrome features may include: Tall and slender build Disproportionately long arms, legs and fingers A breastbone that protrudes outward or dips inward A high, arched palate and crowded teeth Heart murmurs Extreme nearsightedness An abnormally curved spine Flat feet When to see a doctor If you think that you or your child may have Marfan syndrome, talk to your doctor or pediatrician. If your doctor suspects a problem, you'll likely be referred to a specialist for further evaluation. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Mammary duct ectasia,
Malignant peripheral nerve sheath tumors,"Malignant peripheral nerve sheath tumors often cause symptoms that get worse quickly. Symptoms include: Pain where the tumor is growing. Weakness when trying to move the body part that has the tumor. A growing lump of tissue under the skin. When to see a doctor Make an appointment with your health care provider if you have ongoing symptoms that worry you. Malignant peripheral nerve sheath tumors are rare, so your provider might first look for more-common causes for your symptoms. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Get Mayo Clinic cancer expertise delivered to your inbox. Subscribe for free and receive an in-depth guide to coping
                            with cancer, plus helpful information on how to get a second opinion. You can unsubscribe at any
                            time. Click here for an email preview. Email address I would like to learn more about Up-to-date cancer news & research Mayo Clinic cancer care & management
                                    options Error Select
                                    a topic Error Email field is required Error Include a valid email address Address 1 Subscribe Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Thank you for subscribing Your in-depth coping with cancer guide will be in your inbox shortly. You will also
                                receive emails from Mayo Clinic on the latest about cancer news, research, and care. If you don’t receive our email within 5 minutes, check your SPAM folder, then contact us
                                at newsletters@mayoclinic.com . Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Malignant hyperthermia,
Undifferentiated pleomorphic sarcoma,"Undifferentiated pleomorphic sarcoma symptoms depend on where the cancer occurs. It most often happens in the arms and legs, but it can happen anywhere in the body. Signs and symptoms may include: Growing lump or area of swelling. If it grows very large, there may be pain, tingling and numbness. If it occurs in an arm or leg, there may be swelling in the hand or foot of an affected limb. If it occurs in the abdomen, there may be pain, loss of appetite and constipation. Fever. Weight loss. When to see a doctor Make an appointment with a doctor if you develop any persistent signs or symptoms that worry you. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Get Mayo Clinic cancer expertise delivered to your inbox. Subscribe for free and receive an in-depth guide to coping
                            with cancer, plus helpful information on how to get a second opinion. You can unsubscribe at any
                            time. Click here for an email preview. Email address I would like to learn more about Up-to-date cancer news & research Mayo Clinic cancer care & management
                                    options Error Select
                                    a topic Error Email field is required Error Include a valid email address Address 1 Subscribe Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Thank you for subscribing Your in-depth coping with cancer guide will be in your inbox shortly. You will also
                                receive emails from Mayo Clinic on the latest about cancer news, research, and care. If you don’t receive our email within 5 minutes, check your SPAM folder, then contact us
                                at newsletters@mayoclinic.com . Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Malaria,
Lymphoma,"Swollen lymph nodes Enlarge image Close Swollen lymph nodes Swollen lymph nodes One of the most common places to find swollen lymph nodes is in the neck. The inset shows three swollen lymph nodes below the lower jaw. Signs and symptoms of lymphoma may include: Fever. Night sweats. Fatigue. Itchy skin. Painless swelling of lymph nodes in the belly, neck, armpits or groin. Pain in chest, abdomen or bones. Losing weight without trying. When to see a doctor Make an appointment with a doctor or other healthcare professional if you have any ongoing symptoms that worry you. Lymphoma symptoms are like those of many more common conditions, such as infections. The healthcare professional may check for those causes first. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Get Mayo Clinic cancer expertise delivered to your inbox. Subscribe for free and receive an in-depth guide to coping
                            with cancer, plus helpful information on how to get a second opinion. You can unsubscribe at any
                            time. Click here for an email preview. Email address I would like to learn more about Up-to-date cancer news & research Mayo Clinic cancer care & management
                                    options Error Select
                                    a topic Error Email field is required Error Include a valid email address Address 1 Subscribe Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Thank you for subscribing Your in-depth coping with cancer guide will be in your inbox shortly. You will also
                                receive emails from Mayo Clinic on the latest about cancer news, research, and care. If you don’t receive our email within 5 minutes, check your SPAM folder, then contact us
                                at newsletters@mayoclinic.com . Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Lymphedema,"Parts of the immune system Enlarge image Close Parts of the immune system Parts of the immune system The lymphatic system is part of the body's immune system, which protects against infection and disease. The lymphatic system includes the spleen, thymus, lymph nodes and lymph channels, as well as the tonsils and adenoids. Leg lymphedema Enlarge image Close Leg lymphedema Leg lymphedema Lymphedema is swelling in an arm or a leg. In rare circumstances, it affects both arms or both legs. It can also affect the chest wall and abdomen. Lymphedema signs and symptoms include: Swelling of part or all of the arm or leg, including fingers or toes A feeling of heaviness or tightness Restricted range of motion Recurring infections Hardening and thickening of the skin (fibrosis) Signs and symptoms can range from mild to severe. Lymphedema caused by cancer treatment may not occur until months or years after treatment. When to see a doctor Make an appointment with your doctor if you notice persistent swelling in your arm or leg. If you've already been diagnosed with lymphedema, see your doctor if there is a sudden dramatic increase in the size of the involved limb. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Swollen lymph nodes,
Lyme disease,"A tick bite may look like as a tiny, itchy bump on your skin, much like a mosquito bite. This doesn't mean you have a tick-borne disease. Many people will not notice they've had a tick bite. The symptoms of Lyme disease vary. They usually show up in stages. But the stages can overlap. And some people don't have symptoms of the typical early stage. Stage 1 Lyme disease rash Enlarge image Close Lyme disease rash Lyme disease rash Illustration of Lyme disease rash on different skin colors. People with Lyme disease might get a bull's-eye rash. The rash gradually spreads over a period of days. Early symptoms of Lyme disease usually happen within 3 to 30 days after a tick bite. This stage of disease has a limited set of symptoms. This is called early localized disease. A rash is a common sign of Lyme disease. But it doesn't always happen. The rash is usually a single circle that slowly spreads from the site of the tick bite. It may become clear in the center and look like a target or bull's-eye. The rash often feels warm to the touch, But it's usually not painful or itchy. Other stage 1 symptoms include: Fever. Headache. Extreme tiredness. Joint stiffness. Muscle aches and pains. Swollen lymph nodes. Stage 2 Without treatment, Lyme disease can get worse.  The symptoms often show up within 3 to 10 weeks after a tick bite. Stage 2 is often more serious and widespread. It is called early disseminated disease. Stage 2 may include the stage 1 symptoms and the following: Many rashes on other parts of the body. Neck pain or stiffness. Muscle weakness on one or both sides of the face. Immune-system activity in heart tissue that causes irregular heartbeats. Pain that starts from the back and hips and spreads to the legs. Pain, numbness or weakness in the hands or feet. Painful swelling in tissues of the eye or eyelid. Immune-system activity in eye nerves that causes pain or vision loss. Stage 3 In the third stage, you may have symptoms from the earlier stages and other symptoms. This stage is called late disseminated disease. In the United States, the most common condition of this stage is arthritis in large joints, particularly the knees. Pain, swelling or stiffness may last for a long time. Or the symptoms may come and go. Stage 3 symptoms usually begin 2 to 12 months after a tick bite. The type of Lyme disease common in Europe can cause a skin condition called acrodermatitis chronic atrophicans. The skin on the backs of the hands and tops of the feet get discolored and swell. It also may show up over the elbows and knees. More-serious cases may cause damage to tissues or joints. This skin condition may show up many months to many years after a tick bite. When to see a doctor Most people who get Lyme disease don't remember having a tick bite. And many symptoms of Lyme disease relate to other conditions. See your health care provider if you have Lyme disease symptoms. An early diagnosis and proper treatment can improve outcomes. If you know you had a tick bite or might have been around ticks, watch for symptoms. If they show up, see your care provider as soon as possible. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Lupus nephritis,"Signs and symptoms of lupus nephritis include: Blood in the urine. Urine that foams because of too much protein. High blood pressure. Swelling in the legs, ankles or feet and sometimes in the hands and face. High levels of a waste product called creatinine in the blood. Request an appointment"
Lupus,
Male hypogonadism,
Low sperm count,"The main symptom of a low sperm count is not being able to start a pregnancy. There might be no other clear symptoms. In some people, an underlying health condition causes a low sperm count along with other symptoms. Depending on the condition, these other symptoms can include: Trouble with sexual function — for example, some people have low sex drive. Others have trouble getting or keeping an erection that's firm enough for sex, also called erectile dysfunction. Pain, swelling or a lump in the testicle area. Less facial or body hair or other symptoms of a chromosome or hormone condition. When to see a doctor See a healthcare professional if you and your partner haven't been able to become pregnant after a year of regular sex without using birth control. This is how the condition known as infertility is defined. Get a healthcare checkup sooner if you have any of the following: Erection or ejaculation concerns, low sex drive, or other troubles having sex. Pain, discomfort, a lump or swelling in the testicle area. A history of testicle, prostate or sexual problems. Groin, testicle, penis or scrotum surgery. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Thrombocytopenia (low platelet count),"Petechiae Enlarge image Close Petechiae Petechiae Bleeding into the skin looks like tiny reddish-purple spots, also known as petechiae. Petechiae might look like a rash. Here they appear on a leg (A) and on the stomach area (B). Thrombocytopenia signs and symptoms may include: Easy or excessive bruising (purpura) Superficial bleeding into the skin that appears as a rash of pinpoint-sized reddish-purple spots (petechiae), usually on the lower legs Prolonged bleeding from cuts Bleeding from your gums or nose Blood in urine or stools Unusually heavy menstrual flows Fatigue Enlarged spleen When to see a doctor Make an appointment with your doctor if you have signs of thrombocytopenia that worry you. Bleeding that won't stop is a medical emergency. Seek immediate help for bleeding that can't be controlled by the usual first-aid techniques, such as applying pressure to the area. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Long QT syndrome,"The most common symptom of long QT syndrome is fainting, also called syncope. A fainting spell from LQTS can happen with little to no warning. Fainting happens when the heart beats in an irregular way for a short time. You might faint when you're excited, angry or scared, or during exercise. If you have LQTS , things that startle you can cause you to pass out, such as a loud ringtone or an alarm clock. Before fainting happens, some people with long QT syndrome might have symptoms such as: Blurred vision. Lightheadedness. Pounding heartbeats called palpitations. Weakness. Long QT syndrome also can cause seizures in some people. Babies born with LQTS may have symptoms during the first weeks to months of life. Sometimes the symptoms start later in childhood. Most people born with LQTS have symptoms by age 40. Symptoms of long QT syndrome sometimes happen during sleep. Some people with long QT syndrome (LQTS) do not notice any symptoms. The disorder may be found during a heart test called an electrocardiogram. Or it may be discovered when genetic tests are done for other reasons. When to see a doctor Make an appointment for a health checkup if you faint or if you feel like you have a pounding or fast heartbeat. Tell your healthcare team if you have a parent, brother, sister or child with long QT syndrome. Long QT syndrome can run in families, which means it can be inherited. Request an appointment"
Tetanus,"The average time from infection to appearance of signs and symptoms (incubation period) is 10 days. The incubation period can range from 3 to 21 days. The most common type of tetanus is called generalized tetanus. Signs and symptoms begin gradually and then progressively worsen over two weeks. They usually start at the jaw and progress downward on the body. Signs and symptoms of generalized tetanus include: Painful muscle spasms and stiff, immovable muscles (muscle rigidity) in your jaw Tension of muscles around your lips, sometimes producing a persistent grin Painful spasms and rigidity in your neck muscles Difficulty swallowing Rigid abdominal muscles Progression of tetanus results in repeated painful, seizure-like spasms that last for several minutes (generalized spasms). Usually, the neck and back arch, the legs become rigid, the arms are drawn up to the body, and the fists are clenched. Muscle rigidity in the neck and abdomen may cause breathing difficulties. These severe spasms may be triggered by minor events that stimulate the senses — a loud sound, a physical touch, a draft or light. As the disease progresses, other signs and symptoms may include: High blood pressure Low blood pressure Rapid heart rate Fever Extreme sweating Localized tetanus This uncommon form of tetanus results in muscles spasms near the site of a wound. While it's usually a less severe form of disease, it can progress to generalized tetanus. Cephalic tetanus This rare form of tetanus results from a head wound. It results in weakened muscles in the face and spasms of the jaw muscles. It also can progress to generalized tetanus. When to see a doctor Tetanus is a life-threatening disease. If you have signs or symptoms of tetanus, seek emergency care. If you have a simple, clean wound — and you've had a tetanus shot within 10 years — you can care for your wound at home. Seek medical care in the following cases: You've not had a tetanus shot within 10 years. You are unsure of when you last had a tetanus shot. You have a puncture wound, a foreign object in your wound, an animal bite or a deep cut. Your wound is contaminated with dirt, soil, feces, rust or saliva — or you have any doubt about whether you've cleaned a wound sufficiently after such exposure. Contaminated wounds require a vaccination booster if it's been five or more years since your last tetanus shot. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Morphea,"Signs and symptoms of morphea vary depending on the type and stage of the condition. They include: Reddish or purplish oval patches of skin, often on the belly, chest or back Patches that gradually develop a lighter or whitish center Linear patches, especially on the arms or legs and possibly the forehead or scalp A gradual change in the affected skin, which becomes firm, thickened, dry and shiny Morphea affects the skin and underlying tissue and sometimes bone. The condition generally lasts several years and then improves or at times disappears by itself. It may leave scars or areas of darkened or discolored skin. It is possible for morphea to recur. When to see a doctor See your doctor if you notice reddish patches of hardening or thickening skin. Early diagnosis and treatment may help slow the development of new patches and allow your doctor to identify and treat complications before they worsen. Request an appointment"
Liver disease,"Liver problems Enlarge image Close Liver problems Liver problems Liver problems that can occur include fatty liver disease and cirrhosis. The liver and its cells, as seen through a microscope, change greatly when a liver becomes fatty or cirrhotic. Liver disease doesn't always cause symptoms that can be seen or felt. If there are symptoms of liver disease, they may include: Yellowing of the skin and the whites of the eyes, called jaundice. Yellowing of the skin might be harder to see on Black or brown skin. Belly pain and swelling. Swelling in the legs and ankles. Itchy skin. Dark urine. Pale stool. Constant tiredness. Nausea or vomiting. Loss of appetite. Bruising easily. When to see a doctor Make an appointment with your healthcare professional if you have any lasting symptoms that worry you. Seek medical help right away if you have belly pain that is so bad that you can't stay still. More Information Liver disease care at Mayo Clinic Liver cysts: A cause of stomach pain? Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Listeria infection,
Liposarcoma,"Liposarcoma symptoms depend on the part of the body where the cancer forms. Liposarcoma in the arms and legs can cause: A growing lump of tissue under the skin. Pain. Swelling. Weakness of the affected limb. Liposarcoma in the belly, also called the abdomen, can cause: Abdominal pain. Abdominal swelling. Feeling full sooner when eating. Constipation. Blood in stool. When to see a doctor Make an appointment with a doctor or other health care professional if you have any symptoms that don't go away and that worry you. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Get Mayo Clinic cancer expertise delivered to your inbox. Subscribe for free and receive an in-depth guide to coping
                            with cancer, plus helpful information on how to get a second opinion. You can unsubscribe at any
                            time. Click here for an email preview. Email address I would like to learn more about Up-to-date cancer news & research Mayo Clinic cancer care & management
                                    options Error Select
                                    a topic Error Email field is required Error Include a valid email address Address 1 Subscribe Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Thank you for subscribing Your in-depth coping with cancer guide will be in your inbox shortly. You will also
                                receive emails from Mayo Clinic on the latest about cancer news, research, and care. If you don’t receive our email within 5 minutes, check your SPAM folder, then contact us
                                at newsletters@mayoclinic.com . Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Lipoma,
